Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:47:01.633 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.757812,6008.789062,-6000.000000,-6000.000000,Speed,Speed,-0.230000,1.320000,1.940000,1.000000,101.000000,1,0,-0.000000,0.000000,1,1.142258,-0.125778,0.000000,23.544434,15.709167,0.000000,0.064000,-0.032000,-0.023000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:01.735 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.929688,6010.546875,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.290000,1.780000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.183914,-0.155563,0.000000,23.591171,15.703400,0.000000,0.063000,-0.051000,-0.005000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:01.835 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6000.000000,6007.031250,-6000.000000,-6000.000000,Speed,Speed,-0.230000,1.250000,1.540000,1.000000,101.000000,1,0,-0.000000,0.000000,1,1.258316,-0.216034,0.000000,23.677063,15.689972,0.000000,0.062000,-0.071000,-0.007000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:01.936 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5998.828125,6003.515625,-6000.000000,-6000.000000,Speed,Speed,-0.230000,1.190000,1.360000,1.000000,100.000000,1,0,-0.000000,0.000000,1,1.286057,-0.249756,0.000000,23.715378,15.682831,0.000000,0.032000,-0.077000,0.002000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:02.037 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.656250,6000.585938,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.120000,1.210000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.340759,-0.309738,0.000000,23.794434,15.665573,0.000000,0.057000,0.000000,-0.002000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:02.138 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5995.312500,6001.171875,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.080000,1.090000,1.000000,100.000000,1,0,-0.000000,0.000000,1,1.389282,-0.331390,0.000000,23.862915,15.649429,0.000000,0.040000,-0.024000,-0.019000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:02.238 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.726562,6002.929688,-6000.000000,-6000.000000,Speed,Speed,-0.220000,1.030000,1.020000,1.000000,100.000000,1,0,-0.000000,0.000000,1,1.440430,-0.344742,0.000000,23.948120,15.628845,0.000000,0.027000,0.020000,0.019000,FlatInitial,Hold,0,-0.828125,-0.220000
07:47:02.338 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5995.898438,6006.445312,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.950000,0.940000,1.000000,101.000000,1,0,-0.000000,0.000000,1,1.479324,0.000000,0.000000,24.021194,15.614944,0.000000,0.029000,-0.024000,-0.005000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:02.440 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5997.656250,6011.132812,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.930000,0.920000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.525711,0.000000,0.000000,24.096527,15.614838,0.000000,0.027000,-0.012000,0.003000,FlatInitial,Hold,0,-0.828125,-0.230000
07:47:02.540 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5999.414062,6008.203125,-6000.000000,-6000.000000,Speed,Speed,-0.230000,0.870000,0.910000,1.000000,100.000000,1,0,-0.000000,0.000000,1,1.568008,-0.002686,0.000000,24.173965,15.614929,0.000000,0.055000,-0.029000,-0.009000,FlatInitial,Hold,0,-0.828125,-0.230000
