Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:24:29.691 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6005.273438,5998.828125,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.710000,2.620000,1.000000,101.000000,1,0,-0.000000,0.000000,1,-0.310272,-0.039322,0.000000,24.394485,11.343338,0.000000,-0.036000,-0.103000,-0.015000,FlatInitial,Hold,0,-0.043750
07:24:29.791 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6005.273438,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.760000,2.620000,1.000000,101.000000,1,1,0.000000,-0.000000,1,-0.310272,-0.039322,0.000000,24.394485,11.343338,0.000000,-0.036000,-0.103000,-0.015000,FlatInitial,Hold,0,-0.043750
07:24:29.891 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6008.203125,-6000.000000,-6000.000000,Speed,Speed,-34.940000,0.760000,2.620000,1.000000,101.000000,1,1,0.000000,-0.000000,1,-0.379150,-0.042175,0.000000,24.373489,11.341034,0.000000,-0.038000,0.022000,-0.105000,FlatInitial,Hold,0,-0.043750
07:24:29.991 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,6005.859375,-6000.000000,-6000.000000,Speed,Speed,-34.950000,0.890000,2.650000,1.000000,104.000000,1,1,0.000000,-0.000000,1,-0.417648,0.000000,0.000000,24.345581,11.337692,0.000000,-0.021000,0.000000,0.047000,FlatInitial,Hold,0,-0.043750
07:24:30.091 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6006.445312,6004.687500,-6000.000000,-6000.000000,Speed,Speed,-34.950000,0.970000,2.690000,1.000000,102.000000,1,1,0.000000,-0.000000,1,-0.487915,-0.017731,0.000000,24.308701,11.337265,0.000000,-0.016000,-0.031000,-0.033000,FlatInitial,Hold,0,-0.043750
07:24:30.191 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6007.617188,5999.414062,-6000.000000,-6000.000000,Speed,Speed,-34.950000,0.970000,2.690000,1.000000,100.000000,1,1,0.000000,-0.000000,1,-0.487915,-0.017731,0.000000,24.308701,11.337265,0.000000,0.027000,-0.060000,-0.022000,FlatInitial,Hold,0,-0.043750
07:24:30.291 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6006.445312,5995.898438,-6000.000000,-6000.000000,Speed,Speed,-34.950000,1.100000,2.770000,1.000000,101.000000,1,1,0.000000,-0.000000,1,-0.579132,-0.028168,0.000000,24.261154,11.334610,0.000000,-0.126000,0.062000,-0.010000,FlatInitial,Hold,0,-0.043750
07:24:30.391 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.929688,5995.312500,-6000.000000,-6000.000000,Speed,Speed,-34.950000,1.100000,2.770000,1.000000,102.000000,1,1,0.000000,-0.000000,1,-0.579132,-0.028168,0.000000,24.261154,11.334610,0.000000,-0.126000,0.062000,-0.010000,FlatInitial,Hold,0,-0.043750
07:24:30.491 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5998.242188,5994.726562,-6000.000000,-6000.000000,Speed,Speed,-34.960000,1.170000,2.840000,1.000000,100.000000,1,1,0.000000,-0.000000,1,-0.619781,-0.055756,0.000000,24.225296,11.332016,0.000000,-0.026000,0.041000,-0.122000,FlatInitial,Hold,0,-0.043750
07:24:30.592 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.140625,5994.140625,-6000.000000,-6000.000000,Speed,Speed,-34.970000,1.160000,2.820000,1.000000,103.000000,1,1,0.000000,-0.000000,1,-0.695786,0.002823,0.000000,24.185440,11.329376,0.000000,-0.043000,0.024000,0.018000,FlatInitial,Hold,0,-0.043750
