Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
07:53:26.748 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.343750,6002.929688,-6000.000000,-6000.000000,Speed,Speed,-0.270000,2.240000,3.240000,1.000000,104.000000,1,0,-0.000000,0.000000,1,1.430222,-0.986832,0.000000,4.666046,46.393127,0.000000,0.056000,-0.134000,-0.028000,FlatInitial,Hold,0,0.096875,-0.270000
07:53:26.849 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.343750,6005.273438,-6000.000000,-6000.000000,Speed,Speed,-0.270000,2.240000,2.790000,1.000000,104.000000,1,0,-0.000000,0.000000,1,1.485672,-1.113083,0.000000,4.753830,46.329346,0.000000,0.045000,-0.083000,-0.018000,FlatInitial,Hold,0,0.096875,-0.270000
07:53:26.951 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,6004.101562,-6000.000000,-6000.000000,Speed,Speed,-0.270000,2.190000,2.410000,1.000000,102.000000,1,0,-0.000000,0.000000,1,1.520905,-1.198959,0.000000,4.829269,46.270935,0.000000,0.034000,-0.078000,-0.010000,FlatInitial,Hold,0,0.096875,-0.270000
07:53:27.050 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6000.000000,6002.343750,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.160000,2.040000,1.000000,103.000000,1,0,-0.000000,0.000000,1,1.554077,-1.279968,0.000000,4.906250,46.208740,0.000000,0.035000,-0.103000,-0.071000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.152 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6002.343750,5999.414062,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.100000,1.780000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.009613,-1.356659,0.000000,4.921967,46.142365,0.000000,0.014000,-0.062000,-0.018000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.254 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,5999.414062,-6000.000000,-6000.000000,Speed,Speed,-0.260000,2.040000,1.370000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.043243,-1.437103,0.000000,4.923431,46.072159,0.000000,0.039000,-0.080000,-0.002000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.355 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6001.171875,5995.898438,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.980000,1.080000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.083206,-1.526672,0.000000,4.927414,45.982941,0.000000,0.048000,-0.082000,-0.029000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.456 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5994.726562,5990.625000,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.950000,0.700000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.119156,-1.606735,0.000000,4.931656,45.919876,0.000000,0.043000,-0.117000,-0.023000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.556 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5866.406250,5790.234375,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.890000,0.440000,1.000000,102.000000,1,0,-0.000000,0.000000,1,0.147675,-1.681213,0.000000,4.938599,45.837128,0.000000,0.045000,0.079000,-0.065000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.656 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5666.015625,5790.234375,-6000.000000,-6000.000000,Speed,Speed,-0.270000,1.860000,0.560000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.145386,-1.651489,0.000000,4.946609,45.754242,0.000000,-0.079000,0.016000,0.204000,FlatInitial,Hold,0,0.096875,-0.270000
07:53:27.756 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-5837.109375,5681.835938,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.780000,0.580000,1.000000,101.000000,1,0,-0.000000,0.000000,1,0.092285,-0.002747,0.000000,4.952530,45.754272,0.000000,-0.086000,0.037000,-0.007000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.858 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6032.812500,5681.835938,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.750000,0.790000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.009781,0.077560,0.000000,4.954086,45.756653,0.000000,0.042000,0.050000,-0.219000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:27.958 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6131.835938,5892.187500,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.780000,0.690000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.068451,0.000000,0.000000,4.956329,45.758469,0.000000,0.021000,-0.017000,-0.195000,FlatInitial,Hold,0,0.096875,-0.260000
07:53:28.058 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6131.835938,5995.898438,-6000.000000,-6000.000000,Speed,Speed,-0.270000,1.690000,0.620000,1.000000,103.000000,1,0,-0.000000,0.000000,1,0.011276,0.040024,0.000000,4.958527,45.758987,0.000000,-0.107000,0.166000,-0.185000,FlatInitial,Hold,0,0.096875,-0.270000
07:53:28.158 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,-6146.484375,6029.296875,-6000.000000,-6000.000000,Speed,Speed,-0.260000,1.710000,0.730000,1.000000,103.000000,1,0,-0.000000,0.000000,1,-0.085419,0.100555,0.000000,4.956192,45.763794,0.000000,-0.159000,-0.016000,-0.133000,FlatInitial,Hold,0,0.096875,-0.260000
