Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState,Photoeye,VisionXOutput
06:58:42.099 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3994.335937,-3999.609375,4000.000000,4000.000000,Speed,Speed,-15.780000,1.130000,2.140000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.032639,-0.048569,0.000000,0.005753,0.021332,0.000000,-0.054000,-0.019000,-0.061000,FlatInitial,Hold,0,0.000000
06:58:42.199 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3994.335937,-3999.609375,4000.000000,4000.000000,Speed,Speed,-15.770000,1.090000,2.080000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.046738,-0.009171,0.000000,0.003479,0.021194,0.000000,0.035000,0.009000,-0.018000,FlatInitial,Hold,0,0.000000
06:58:42.301 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3995.214844,-3990.673828,4000.000000,4000.000000,Speed,Speed,-15.770000,1.090000,2.050000,3.000000,101.000000,1,0,-0.000000,0.000000,1,0.000000,-0.014221,0.000000,0.001465,0.020660,0.000000,-0.017000,-0.046000,0.091000,FlatInitial,Hold,0,0.000000
06:58:42.402 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3995.214844,-3991.992187,4000.000000,4000.000000,Speed,Speed,-15.770000,1.060000,2.040000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.001801,-0.006485,0.000000,0.001373,0.020126,0.000000,-0.041000,0.015000,-0.043000,FlatInitial,Hold,0,0.000000
06:58:42.501 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3998.144531,-3997.265625,4000.000000,4000.000000,Speed,Speed,-15.770000,1.070000,2.040000,3.000000,100.000000,1,0,-0.000000,0.000000,1,0.000000,-0.006348,0.000000,0.001129,0.019836,0.000000,-0.017000,-0.005000,-0.063000,FlatInitial,Hold,0,0.000000
06:58:42.601 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3998.583984,-4002.539062,4000.000000,4000.000000,Speed,Speed,-15.770000,1.090000,2.040000,3.000000,102.000000,1,0,-0.000000,0.000000,1,-0.008118,0.002838,0.000000,0.000900,0.019897,0.000000,-0.025000,-0.019000,0.095000,FlatInitial,Hold,0,0.000000
06:58:42.702 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3998.437500,-4006.494141,4000.000000,4000.000000,Speed,Speed,-15.770000,1.070000,2.080000,3.000000,100.000000,1,0,-0.000000,0.000000,1,-0.002945,0.010696,0.000000,0.000656,0.020309,0.000000,-0.031000,-0.007000,0.092000,FlatInitial,Hold,0,0.000000
06:58:42.802 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3998.583984,-4007.666016,4000.000000,4000.000000,Speed,Speed,-15.770000,1.080000,2.070000,3.000000,100.000000,1,0,-0.000000,0.000000,1,-0.010086,0.008545,0.000000,0.000214,0.020798,0.000000,-0.015000,-0.004000,-0.088000,FlatInitial,Hold,0,0.000000
06:58:42.902 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,3999.609375,-4008.105469,4000.000000,4000.000000,Speed,Speed,-15.770000,1.100000,2.070000,3.000000,101.000000,1,0,-0.000000,0.000000,1,-0.016327,0.000000,0.000000,-0.000381,0.021194,0.000000,0.040000,0.037000,0.012000,FlatInitial,Hold,0,0.000000
06:58:43.002 PM 02/18/2016,Teleop Enabled,0,FALSE,0,NO ERROR,4000.488281,-4006.640625,4000.000000,4000.000000,Speed,Speed,-15.770000,1.080000,2.040000,3.000000,103.000000,1,0,-0.000000,0.000000,1,-0.011917,0.001541,0.000000,-0.001083,0.021225,0.000000,-0.041000,-0.014000,0.108000,FlatInitial,Hold,0,0.000000
