Time,RobotMode,AutoToRun,ErrorStatus, ErrorCode,ErrorSource,ActualRPM1,ActualRPM2,DesiredRPM1,DesiredRPM2,ControlMode1,ControlMode2,NavXYaw,NavXRoll,NavXPitch,ShooterState,LoopTime,IsLevel,IsAutoTargeting,LeftMotorOutput,RightMotorOutput,IsHaloDrive,NavXVelocityX,NavXVelocityY,NavXVelocityZ,NavXDisplacementX,NavXDisplacementY,NavXDisplacementZ,NavXAccelerationX,NavXAccelerationY,NavXAccelerationZ,AutoDefendState,AngeMotorState
06:35:03.992 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.930000,1.280000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,0.000000,0.009000,FlatInitial,ResetForward
06:35:04.092 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.900000,0.920000,1.290000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.002000,0.000000,0.014000,FlatInitial,ResetForward
06:35:04.193 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.920000,1.290000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,-0.002000,0.017000,FlatInitial,ResetForward
06:35:04.294 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.910000,1.300000,1.000000,103.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.001000,0.011000,FlatInitial,ResetForward
06:35:04.393 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.910000,1.300000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.001000,0.013000,FlatInitial,ResetForward
06:35:04.495 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.900000,1.310000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.001000,0.014000,FlatInitial,ResetForward
06:35:04.595 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.900000,1.310000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.001000,-0.002000,0.010000,FlatInitial,ResetForward
06:35:04.696 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.146484,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.890000,0.900000,1.310000,1.000000,101.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.002000,-0.001000,0.015000,FlatInitial,ResetForward
06:35:04.795 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.320000,1.000000,104.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,-0.001000,0.011000,FlatInitial,ResetForward
06:35:04.896 PM 02/16/2016,Teleop Disabled,0,FALSE,0,NO ERROR,0.000000,0.000000,-6000.000000,-6000.000000,Speed,Speed,153.880000,0.900000,1.320000,1.000000,102.000000,1,0,-0.527559,0.527559,1,0.000000,0.000000,0.000000,0.083939,0.080261,0.000000,0.000000,0.000000,0.009000,FlatInitial,ResetForward
